mal_id,title_eng,title_jap,episodes,year,image,trailer
50183,Blue Giant,BLUE GIANT,1,2023,https://cdn.myanimelist.net/images/anime/1958/132159.webp,https://www.youtube.com/watch?v=h1I116oS_Lk
50325,"Kaguya-sama: Love is War - Ultra Romantic ""Yu Ishigami Wants to Chat""",第３期『かぐや様は告らせたい-ウルトラロマンティック-』 / ティザーPV 「石上優は語りたい」,1,2021,https://cdn.myanimelist.net/images/anime/1265/119435.webp,
50399,Heaven Official's Blessing Season 2,天官賜福 貳,12,2023,https://cdn.myanimelist.net/images/anime/1203/139210.webp,https://www.youtube.com/watch?v=gZRZaElR0So
50407,Fog Hill of Five Elements,雾山五行·犀川幻紫林,4,2023,https://cdn.myanimelist.net/images/anime/1433/119529.webp,https://www.youtube.com/watch?v=BsTEjWAn330
50528,Golden Kamuy Season 4,ゴールデンカムイ,13,2022,https://cdn.myanimelist.net/images/anime/1855/128059.webp,https://www.youtube.com/watch?v=8usuFOSVV7Y
50587,,グリッドマン ユニバース,1,2023,https://cdn.myanimelist.net/images/anime/1897/133657.webp,https://www.youtube.com/watch?v=Q1BmA_2Zj-k
51039,Fights Break Sphere 5th Season,斗破苍穹年番,104,2022,https://cdn.myanimelist.net/images/anime/1419/126374.webp,
51318,Baki Hanma 2nd Season,範馬刃牙 SON OF OGRE,27,2023,https://cdn.myanimelist.net/images/anime/1800/135847.webp,https://www.youtube.com/watch?v=Ns8r8J44f6s
51440,Sasaki and Miyano: Graduation,映画 佐々木と宮野ー卒業編ー,1,2023,https://cdn.myanimelist.net/images/anime/1574/128922.webp,https://www.youtube.com/watch?v=1ZDrZqNFWjk
51805,Legend of the Galactic Heroes: Die Neue These - Intrigue,銀河英雄伝説 Die Neue These 策謀,12,2022,https://cdn.myanimelist.net/images/anime/1700/123762.webp,https://www.youtube.com/watch?v=AfDKYKRGG54
51836,Soul Land 2: The Peerless Tang Clan,斗罗大陆Ⅱ绝世唐门,52,2023,https://cdn.myanimelist.net/images/anime/1447/123844.webp,
52196,Date A Live V,デート・ア・ライブⅤ,12,2024,https://cdn.myanimelist.net/images/anime/1659/141438.webp,https://www.youtube.com/watch?v=xkbH8v2JFuk
52684,Throne of Seal 2nd Season,神印王座 第二季,130,2022,https://cdn.myanimelist.net/images/anime/1279/126735.webp,
52826,Tsurune - The Linking Shot -,ツルネ ―つながりの一射―,13,2023,https://cdn.myanimelist.net/images/anime/1803/132337.webp,https://www.youtube.com/watch?v=PC2w_ETFQDQ
52846,,Tot Musica,1,2022,https://cdn.myanimelist.net/images/anime/1816/127267.webp,
53127,Fate/strange Fake: Whispers of Dawn,Fate/strange Fake -Whispers of Dawn-,1,2023,https://cdn.myanimelist.net/images/anime/1220/136619.webp,https://www.youtube.com/watch?v=dQOtt9tW0F4
53223,Kingdom: Season 5,キングダム 第5シリーズ,13,2024,https://cdn.myanimelist.net/images/anime/1050/139641.webp,https://www.youtube.com/watch?v=jYztdVfUZX8
53236,Road of Naruto,ROAD OF NARUTO,1,2022,https://cdn.myanimelist.net/images/anime/1731/128787.webp,
53410,Laid-Back Camp Season 3,ゆるキャン△ SEASON3,12,2024,https://cdn.myanimelist.net/images/anime/1178/142710.webp,https://www.youtube.com/watch?v=fx5tfPNvubo
53540,Detective Conan Movie 26: Black Iron Submarine,名探偵コナン 黒鉄の魚影 (サブマリン),1,2023,https://cdn.myanimelist.net/images/anime/1138/133101.webp,https://www.youtube.com/watch?v=YKx9O6qsG-E
